Designator,Mid X,Mid Y,Rotation,Layer
C201,234.515,-152.575,90.0,top
C202,239.975,-160.575,0.0,top
C203,235.785,-205.925,90.0,top
C501,136.925,-71.235,270.0,top
C502,126.0,-75.0,270.0,top
C601,252.765,-73.585,270.0,top
C602,251.875,-65.075,90.0,top
C701,136.865,-82.435,270.0,top
C702,145.5,-74.75,0.0,top
D201,276.0,-207.0,90.0,top
D203,251.705,-150.705,180.0,top
D301,121.0,-173.0,0.0,top
D302,121.0,-165.0,0.0,top
D303,121.0,-169.0,0.0,top
D501,129.629,-68.8,180.0,top
D601,262.065,-79.891,0.0,top
D701,129.6,-60.6,180.0,top
F801,121.0,-222.0,180.0,top
J101,167.085,-64.735,90.0,top
J201,276.0,-167.5,0.0,top
J202,276.0,-186.9,180.0,top
J203,276.0,-154.2,180.0,top
J301,113.505,-145.205,180.0,top
J302,275.94,-102.5,180.0,top
J401,131.08,-64.73,90.0,top
J501,134.565,-76.425,90.0,top
J601,255.175,-76.385,180.0,top
J701,134.365,-88.225,90.0,top
P101,122.81,-121.81,0.0,top
P102,122.81,-210.22,0.0,top
P103,225.04,-121.8,0.0,top
P104,225.04,-203.23,0.0,top
R101,268.125,-201.755,90.0,top
R102,234.505,-145.585,180.0,top
R103,169.5,-74.5,90.0,top
R104,234.505,-149.405,180.0,top
R201,272.209,-196.989,270.0,top
R202,262.695,-142.555,180.0,top
R203,267.065,-195.055,270.0,top
R205,247.045,-150.665,0.0,top
R301,125.0,-173.0,180.0,top
R302,125.0,-165.0,180.0,top
R303,125.0,-169.0,180.0,top
R501,127.419,-68.927,270.0,top
R601,267.319,-76.975,270.0,top
R701,127.385,-60.435,270.0,top
R801,236.515,-214.005,270.0,top
R802,234.455,-215.255,270.0,top
SW101,113.35,-217.15,90.0,top
SW201,263.115,-149.39,270.0,top
SW202,263.265,-161.39,270.0,top
U101,240.0,-138.0,90.0,top
U201,239.9,-149.4,180.0,top
U202,251.571,-197.055,0.0,top
U501,134.0,-71.75,180.0,top
U601,250.075,-74.025,180.0,top
U701,134.0,-82.75,180.0,top
USB401,262.1,-71.35,180.0,top
USB801,234.03,-221.24,0.0,top
